jurisdiction,jurisdiction_type,funding_billions,population,funding_per_resident,population_share,funding_share,expected_funding_billions,allocation_ratio,funding_difference_billions
ALABAMA,State or District of Columbia,3.0,5074296,591.2150178073963,0.015064080937286946,0.015541432422743539,2.9078556971187486,1.0316880589956896,0.09214430288125142
ALASKA,State or District of Columbia,3.7,733583,5043.737382136718,0.0021777905124607966,0.019167766654717033,0.4203841293175375,8.801474037582429,3.2796158706824627
AMERICAN SAMOA,Territory,0.0686,49710,1380.004023335345,0.00014757425727480897,0.00035538075473340227,0.028486613059973836,2.4081486927060824,0.040113386940026155
ARIZONA,State or District of Columbia,3.5,7359197,475.5953672662928,0.02184727482224909,0.01813167115986746,4.217231892398315,0.8299282774345069,-0.7172318923983152
ARKANSAS,State or District of Columbia,2.8,3045637,919.3479065298983,0.009041593606994114,0.01450533692789397,1.7453205137827306,1.6042898584463456,1.0546794862172693
CALIFORNIA,State or District of Columbia,18.4,39029342,471.4401795449178,0.11586654913648174,0.09532078552616037,22.365998059533,0.8226773493864906,-3.9659980595329998
COLORADO,State or District of Columbia,3.2,5839926,547.9521487087336,0.01733700949486715,0.016577527917593107,3.346604551616994,0.9561930460095267,-0.14660455161699382
CONNECTICUT,State or District of Columbia,2.5,3626205,689.4259977028325,0.010765127934041415,0.012951193685619616,2.078018481415056,1.2030691845904997,0.42198151858494404
DELAWARE,State or District of Columbia,0.792,1018396,777.6935494640592,0.003023315898443701,0.004102938159604295,0.5835979238347438,1.3570987278293831,0.2084020761652562
DISTRICT OF COLUMBIA,State or District of Columbia,1.1,671803,1637.3847690468783,0.00199438400241377,0.005698525221672631,0.38498073050753573,2.8572858660999088,0.7150192694924644
FLORIDA,State or District of Columbia,8.2,22244823,368.6250953761241,0.06603828671161915,0.04247991528883233,12.747528975831953,0.6432619228045202,-4.547528975831954
GEORGIA,State or District of Columbia,5.0,10912876,458.1743621021626,0.032397094557072785,0.025902387371239233,6.253688915378697,0.7995280973609512,-1.2536889153786968
GUAM,Territory,0.1426,153836,926.9611794378429,0.00045669349109087737,0.0007387360878277429,0.08815664064965067,1.6175752495687352,0.05444335935034933
HAWAII,State or District of Columbia,1.0,1440196,694.3499357031959,0.004275515088114077,0.005180477474247847,0.8253129386948718,1.2116616050893056,0.17468706130512823
IDAHO,State or District of Columbia,1.2,1939033,618.8651766112284,0.00575641429906145,0.006216572969097416,1.1111744675421493,1.0799384210603105,0.08882553245785063
ILLINOIS,State or District of Columbia,8.4,12582032,667.6187121444294,0.03735232402751719,0.04351601078368191,7.210208752609309,1.1650148127764146,1.1897912473906915
INDIANA,State or District of Columbia,3.4,6833037,497.582553701963,0.02028526172211404,0.01761362341244268,3.9157127548478066,0.8682965817118905,-0.5157127548478067
IOWA,State or District of Columbia,2.4,3200517,749.8788476986687,0.009501386424671089,0.012433145938194832,1.8340754248816795,1.3085612333281385,0.5659245751183204
KANSAS,State or District of Columbia,1.5,2937150,510.6991471324243,0.008719527856662747,0.0077707162113717695,1.683151389038466,0.8911854333298593,-0.18315138903846595
KENTUCKY,State or District of Columbia,3.9,4512310,864.3023196544564,0.013395711061027828,0.0202038621495666,2.585806255816748,1.5082336471369364,1.3141937441832519
LOUISIANA,State or District of Columbia,4.3,4590241,936.7699865867609,0.013627065103346941,0.02227605313926574,2.630465081855308,1.634691914240178,1.669534918144692
MAINE,State or District of Columbia,1.1,1385340,794.0289026520566,0.004112663881977145,0.005698525221672631,0.7938773795313651,1.3856044124211508,0.30612262046863503
MARYLAND,State or District of Columbia,2.7,6164660,437.9803590141224,0.018301048498324764,0.013987289180469185,3.532695314148025,0.7642889521739451,-0.8326953141480247
MASSACHUSETTS,State or District of Columbia,3.6,6981974,515.6134926884574,0.020727411534138547,0.018649718907292247,4.001061994222446,0.8997611147236455,-0.4010619942224456
MICHIGAN,State or District of Columbia,5.2,10034113,518.2321546508396,0.029788307652112357,0.0269384828660888,5.7501085180256135,0.9043307589237461,-0.5501085180256133
MINNESOTA,State or District of Columbia,2.7,5717184,472.2604694898747,0.0169726248743396,0.013987289180469185,3.2762665137934714,0.8241087801107385,-0.5762665137934713
MISSISSIPPI,State or District of Columbia,2.3,2940057,782.2977581727157,0.00872815787810507,0.011915098190770046,1.684817262789529,1.3651332110592937,0.6151827372104708
MISSOURI,State or District of Columbia,3.8,6177957,615.090069419389,0.01834052335044673,0.019685814402141816,3.5403152395927733,1.0733507450136266,0.25968476040722654
MONTANA,State or District of Columbia,3.3,1122867,2938.9054981578406,0.003333459335010922,0.017095575665017893,0.6434656557395624,5.128478840424156,2.6565343442604377
NEBRASKA,State or District of Columbia,1.3,1967923,660.5949521398957,0.005842180146831903,0.0067346207165222,1.1277300549753146,1.152758139472,0.1722699450246854
NEVADA,State or District of Columbia,1.7,3177772,534.9660076305034,0.009433863260685663,0.00880681170622134,1.821041266481979,0.9335318376854713,-0.1210412664819791
NEW HAMPSHIRE,State or District of Columbia,0.7518,1395231,538.8355046583684,0.004142027329547154,0.003894682965139531,0.799545476288078,0.9402842268463099,-0.047745476288078015
NEW JERSEY,State or District of Columbia,5.1,9261699,550.6549068372876,0.027495239409129773,0.02642043511866402,5.307472051718902,0.9609094405590494,-0.20747205171890215
NEW MEXICO,State or District of Columbia,2.6,2113344,1230.2777020683807,0.0062738919969055305,0.0134692414330444,1.2110644295034672,2.1468717408090274,1.388935570496533
NEW YORK,State or District of Columbia,10.1,19677151,513.2856885633495,0.05841562953347948,0.05232282248990325,11.276109166358426,0.8956990262326234,-1.176109166358426
NORTH CAROLINA,State or District of Columbia,4.5,10698973,420.60111750912915,0.03176207994524713,0.02331214863411531,6.131110520822922,0.7339616509467207,-1.6311105208229222
NORTH DAKOTA,State or District of Columbia,1.8,779261,2309.8807716541696,0.002313394956713436,0.009324859453646124,0.4465601806422907,4.030811698013574,1.3534398193577093
NORTHERN MARIANA ISLANDS,Territory,0.0833,47329,1760.0202835470852,0.00014050577394004093,0.0004315337736048456,0.02712216675750356,3.0712885421277933,0.056177833242496436
OHIO,State or District of Columbia,6.6,11756058,561.4126776169359,0.034900252018297655,0.034191151330035786,6.73687940769684,0.979682075421974,-0.13687940769684026
OKLAHOMA,State or District of Columbia,2.9,4019800,721.4289268122792,0.01193359483792551,0.015023384675318755,2.303570452192372,1.258915262279037,0.5964295478076278
