jurisdiction,state_abbreviation,funding_billions,population,funding_per_resident,2020_winner,two_party_margin,biden_indicator
ALABAMA,AL,3.0,5074296,591.2150178073963,Trump,-0.2582274966670945,0
ALASKA,AK,3.7,733583,5043.737382136718,Trump,-0.10523697447698623,0
ARIZONA,AZ,3.5,7359197,475.5953672662928,Biden,0.0031366335825862694,1
ARKANSAS,AR,2.8,3045637,919.3479065298983,Trump,-0.284248665559663,0
CALIFORNIA,CA,18.4,39029342,471.4401795449178,Biden,0.2981874268022429,1
COLORADO,CO,3.2,5839926,547.9521487087336,Biden,0.13876638984600306,1
CONNECTICUT,CT,2.5,3626205,689.4259977028325,Biden,0.2039009817615569,1
DELAWARE,DE,0.792,1018396,777.6935494640592,Biden,0.19253488329968946,1
DISTRICT OF COLUMBIA,DC,1.1,671803,1637.3847690468783,Biden,0.8893390769523889,1
FLORIDA,FL,8.2,22244823,368.6250953761241,Trump,-0.03389509324283115,0
GEORGIA,GA,5.0,10912876,458.1743621021626,Biden,0.0023865932581729017,1
HAWAII,HI,1.0,1440196,694.3499357031959,Biden,0.30065329293029763,1
IDAHO,ID,1.2,1939033,618.8651766112284,Trump,-0.3175428585015574,0
ILLINOIS,IL,8.4,12582032,667.6187121444294,Biden,0.1731808746561384,1
INDIANA,IN,3.4,6833037,497.582553701963,Trump,-0.16396392759276734,0
IOWA,IA,2.4,3200517,749.8788476986687,Trump,-0.08366526169274108,0
KANSAS,KS,1.5,2937150,510.6991471324243,Trump,-0.14986856511262706,0
KENTUCKY,KY,3.9,4512310,864.3023196544564,Trump,-0.26400205800525933,0
LOUISIANA,LA,4.3,4590241,936.7699865867609,Trump,-0.18928880912582097,0
MAINE,ME,1.1,1385340,794.0289026520566,Biden,0.09340809164007946,1
MARYLAND,MD,2.7,6164660,437.9803590141224,Biden,0.3405809409418468,1
MASSACHUSETTS,MA,3.6,6981974,515.6134926884574,Biden,0.34231099080296296,1
MICHIGAN,MI,5.2,10034113,518.2321546508396,Biden,0.028271186888189206,1
MINNESOTA,MN,2.7,5717184,472.2604694898747,Biden,0.07279027297133335,1
MISSISSIPPI,MS,2.3,2940057,782.2977581727157,Trump,-0.1676997165477772,0
MISSOURI,MO,3.8,6177957,615.090069419389,Trump,-0.15671641288802893,0
MONTANA,MT,3.3,1122867,2938.9054981578406,Trump,-0.16794360184096208,0
NEBRASKA,NE,1.3,1967923,660.5949521398957,Trump,-0.19568104493203453,0
NEVADA,NV,1.7,3177772,534.9660076305034,Biden,0.02446234680087609,1
NEW HAMPSHIRE,NH,0.7518,1395231,538.8355046583684,Biden,0.07497751699032504,1
NEW JERSEY,NJ,5.1,9261699,550.6549068372876,Biden,0.1614277225637524,1
NEW MEXICO,NM,2.6,2113344,1230.2777020683807,Biden,0.11036980303439482,1
NEW YORK,NY,10.1,19677151,513.2856885633495,Biden,0.234543537906783,1
NORTH CAROLINA,NC,4.5,10698973,420.60111750912915,Trump,-0.013684013075716319,0
NORTH DAKOTA,ND,1.8,779261,2309.8807716541696,Trump,-0.3441032175670552,0
OHIO,OH,6.6,11756058,561.4126776169359,Trump,-0.08153395295405433,0
OKLAHOMA,OK,2.9,4019800,721.4289268122792,Trump,-0.3388007899381303,0
OREGON,OR,2.3,4240137,542.4353033876029,Biden,0.16614313970883463,1
PENNSYLVANIA,PA,8.1,12972008,624.4214465485991,Biden,0.011784105186981149,1
RHODE ISLAND,RI,1.1,1093734,1005.7289980927721,Biden,0.2119871976791852,1
SOUTH CAROLINA,SC,2.3,5282634,435.388860935662,Trump,-0.11853217499164191,0
SOUTH DAKOTA,SD,1.3,909824,1428.8477771525042,Trump,-0.26869559723362996,0
TENNESSEE,TN,3.7,7051339,524.7230348732347,Trump,-0.23655540744132708,0
TEXAS,TX,14.2,30029572,472.8672123598698,Trump,-0.05661442473559064,0
UTAH,UT,1.8,3380800,532.4183625177473,Trump,-0.21387210243703267,0
VERMONT,VT,0.8521,647064,1316.8712832115525,Biden,0.36598373105613125,1
VIRGINIA,VA,4.5,8683619,518.2171166192345,Biden,0.10309373998799817,1
WASHINGTON,WA,4.0,7785786,513.7567356719027,Biden,0.19851006369581387,1
WEST VIRGINIA,WV,2.0,1775156,1126.6615441121794,Trump,-0.3959706462784406,0
WISCONSIN,WI,2.8,5892539,475.1771689589157,Biden,0.006381265330679872,1
WYOMING,WY,2.3,581381,3956.0976364896687,Trump,-0.4496086875117019,0
